school_name,Food Security,Financial Assistance,Mental Health Support,Academic Support,School Supplies,Cleaning Supplies,Nutrition Education,Financial Literacy,Crisis Intervention,Financial Counseling,Emergency Housing,Emails,Phone Numbers,Total Mentions
"University of California, Los Angeles",no,"Occurrence 1: The LA County Department of Public Social Services helps low-income families and individuals with a variety of programs and services for financial assistance through benefits programs, as well as housing and job assistance. 

https://bewellbruin.ucla.edu/resources/online

Occurrence 2: The LA County Department of Public Social Services helps low-income families and individuals with a variety of programs and services for financial assistance through benefits programs, as well as housing and job assistance. 

https://bewellbruin.ucla.edu/guide

Occurrence 3: The LA County Department of Public Social Services helps low-income families and individuals with a variety of programs and services for financial assistance through benefits programs, as well as housing and job assistance. 

https://bewellbruin.ucla.edu/resources/basic-needs-safety",no,"Occurence 1: At the center of its mission, the Dashew Center aims to serve the entire UCLA community by promoting the values of creating global connection, international understanding, and cultural sensitivity. ACADEMIC SUPPORT Community Read more about Dashew Center for International Students & Scholars Academic UCLA Library. As a consistently ranked top academic library, the UCLA Library drives the world-class research, groundbreaking discoveries, and innovation for which UCLA is renowned.

https://bewellbruin.ucla.edu/resources/online

Occurrence 2: Basic Needs Access to basic needs, such as food, housing, childcare, and transportation. Browse by Tag Community Recreation Stress Management Wellness LGBTQ+ Support ACADEMIC SUPPORT Mental Health. First Year Student Resources Academic Counseling View All Graduate Student Resources Graduate Student Resource Center.

https://bewellbruin.ucla.edu/resources

Occurrence 3: The Dashew Center aims to serve the entire UCLA community by promoting the values of creating global connection, international understanding and cultural sensitivity. ACADEMIC SUPPORT Community Read more about Dashew Center for International Students & Scholars Basic Needs & Safety UCLA Residential Life.

https://bewellbruin.ucla.edu/resources/undergraduate

Occurrence 4: Through individual support, education, and campus advocacy, USP is dedicated to providing academic, wellness, and emotional support to students and create an inclusive environment and supportive community. ACADEMIC SUPPORT Community Read more about Undocumented Student Program Basic Needs & Safety.

https://bewellbruin.ucla.edu/resources/faculty-staff

Occurrence 5: UCLA’s Center for Accessible Education (CAE) facilitates academic accommodations, disability advocacy, and serves as an educational resource for the campus community. CAE provides students with disabilities the necessary accommodations to ensure they have access to instruction materials and other resources that contribute to their success at UCLA. ACADEMIC SUPPORT Neurodiversity Support.

Occurrence 6: AAP is a cohort-based program designed to serve first-generation, low-income, and diverse populations with services including peer tutoring, academic programs, personal and career counseling, graduate mentoring, scholarships, research opportunities, etc. ACADEMIC SUPPORT Community EDI Read more about Academic Advancement Program (AAP) Academic Counseling.

Occurrence 7: Counselors can also help students drop or enroll in a class, change their major, or apply to additional majors and minors. ACADEMIC SUPPORT Read more about Academic Counseling.

https://bewellbruin.ucla.edu/guide",no,no,"Occurrence 1: The Ashe Center’s nutrition services include private counseling with a registered dietitian, medical nutrition therapy, and nutrition education.

Occurrence 2: The UCLA Teaching Kitchen was developed as an educational, interactive space to meet the needs of the campus community in areas of nutrition education, food insecurity, culinary skills, and community engagement. Programs will range from medical students to faculty and staff wellness programs, to summer camps, to student groups.

https://bewellbruin.ucla.edu/resources/food",No,"```
Occurrence 1: The Trevor Project is the world’s largest suicide prevention and crisis intervention organization for LGBTQ (lesbian, gay, bisexual, transgender, queer, and questioning) young people. 

https://bewellbruin.ucla.edu/resources/personal-crisis-support
```",no,no,"info@caps.ucla.edu

basicneeds@cpo.ucla.edu
","(310) 825-4321

(310) 825-4321, 310-825-0768

424-259-7208, 310-825-0768, 310-794-5824, 310-825-1491, (310) 825-4321
",12
"University of North Carolina, Chapel Hill",no,"Occurrence 1: Emergency Fund (GPSG) – The Graduate and Professional Student Government emergency fund provides financial assistance to graduate and professional students for unforeseen financial circumstances that could hinder their ability to complete their degrees. For additional information about the GPSG fund, please visit their website.

https://dos.unc.edu/student-support/basicneeds/financial-security/

Occurrence 2: IFC Commons – Provides emergency financial assistance, clothing vouchers, medication in case of an emergency.

https://dos.unc.edu/student-support/basicneeds/communityresources/

Occurrence 3: The Office of Scholarships & Student Aid manages financial aid packages for students who apply for financial assistance. Unfortunately, this aid does not always meet a student’s full cost of attendance or unforeseen emergencies.

https://dos.unc.edu/for-faculty-staff/",no,no,no,No,no,no,no,no,"Occurrence 1: The goal is to provide resources for students that address both sets of challenges. EMERGENCY HOUSING (funding and options)(coming soon) Housing Resources in the Community – You can find some community resources that can assist with emergency housing, short-term housing, and long-term housing.

Occurrence 2: We are working on gathering resources for EMERGENCY HOUSING. In the meantime, if you or someone you know are experiencing housing insecurity or homelessness, please fill out a care referral form and someone will be in touch.

https://dos.unc.edu/student-support/basicneeds/housing-security/","help@studentaid.unc.edu., dos@unc.edu, Centercvrc@unc.edu

dos@unc.edu, Centercvrc@unc.edu

SAFE@UNC, dos@unc.edu, Centercvrc@unc.edu

dos@unc.edu., dos@unc.edu, Centercvrc@unc.edu

Centercvrc@unc.edu, cvrc@unc.edu, dos@unc.edu, 843-9778dos@unc.edu

Centercvrc@unc.edu, dos@unc.edu, cvrc@unc.edu

carolinacupboard@gmail.com., dos@unc.edu, Centercvrc@unc.edu

uaao@unc.edu., dos@unc.edu, Centercvrc@unc.edu
","919-962-9640, 919-966-4042

919-966-3658, 919-962-9640, 919-966-4042, 919-962-8100

919-962-9640, 919-966-4042, 919-962-8100

919-962-9640, 919-966-4042, 919.962.8100

919-962-9640, (919) 962-8100, (919) 966-4042, (919) 962-9640, 919-966-4042, (919) 843-9778

9301234567, 919-962-9640, 9101112131, 919-962-8100, 877-314-5841, 3112345678, 919-966-4042, 919-966-3658, 4252627282, 9202122232, 4151617181

(919) 966-2281, 919-962-9640, 919-966-4042, (919) 966-3658, (919-966-0616
",5
University of Southern California,no,no,no,"Occurrence 1: Supplemental Instruction (SI) is an academic support program that targets traditionally difficult courses and provides regularly scheduled, peer-led study sessions. Sessions are available to all students enrolled in the course.

Occurrence 2: The Office of Academic Support Services provides an array of resources to help all Keck Medical School students retain and master their curriculum throughout their four years of medical training.

https://campussupport.usc.edu/students/academics/",No,no,no,"Occurrence 1: The USC Credit Union offers a helpful online program on FINANCIAL LITERACY available for students.

https://campussupport.usc.edu/students/basic-needs/",no,no,no,"uscsupport@usc.edu

vhla@usc.edu, reubenh@usc.edu, uscsupport@usc.edu, covid19@usc.edu., ois@usc.edu., sasfrntd@usc.edu

uscsupport@usc.edu, uscsupport@usc.edu.

eshcrsvp@usc.edu., uscsupport@usc.edu, princep@usc.edu., uscsupport@usc.edu.

uscsupport@usc.edu, 740-0411uscsupport@usc.edu
","(213) 740-0411, (800) 872-4632, 213-740-4444, 213-740-0411

213-740-0411

213-740-6291, (213-740-0411, 213-740-0411

(213) 740-0411, 213-740-0411

(213-740-4900, 213-740-9355, 213-740-0411, (213) 740-5086, 213-740-4321

213-740-1196, (213) 740-0411, 213-740-0776, 213-740-0411

213-740-9355, (213) 740-0411, 213-740-7711, 213-740-0411, 213-740-4321

213-740-0411, 213-740-4321

(213) 740-9355, (213) 740-0411, (213) 740-6000, 213-740-0411, (213-821-4710, (213) 740-7711, (213) 740-4321, (213) 821-4710

(213) 740-9355, (213) 740-0411, 213-740-0411, (213) 740-4321
",3
University of Auburn,"Occurrence 1: Colleges and universities formed the Alabama Campus Coalition for Basic Needs (ACCBN) to lead student food security efforts. They assess student food insecurity prevalence and campus food aid resources.

https://hsi.auburn.edu/au-hfhe/index.php

Occurrence 2: End Child Hunger in Alabama (ECHA) is a movement addressing food insecurity among children in Alabama. Launched in 2013 to improve child food security, ECHA's network includes various partners.

https://hsi.auburn.edu/au-echa/",no,no,no,no,no,no,no,no,No,no,"hsi@auburn.edu
","(334) 844-3219
",2
University of Syracuse,no,"```
Occurrence 1: Emergency Aid - Student Outreach and Support – Syracuse University emergency aid may be available to support enrolled Syracuse University students with one-time financial assistance of up to $500, in the event of a personal crisis that includes an unexpected, unforeseen and/or unavoidable emergency expense. 

Occurrence 2: Requesting Emergency Aid If you are a student in need of emergency financial assistance, please schedule an appointment with a Student Outreach and Support case manager or make a referral. Possible Expenses Covered The following list offers some examples of possible expenses covered by emergency aid.

https://experience.syracuse.edu/student-outreach/student-support/emergency-aid/
```",no,no,no,no,no,no,no,no,no,"cuseworks@syr.edu

welcome@syr.edu
","315.443.4357

315.443.4357, 315.443.8000

315.443.2268

315.443.4357, 315.443.2224

315.443.9187
",2
"University of California, Davis","Occurrence 1: FOOD SECURITY Aggie Compass Basic Needs Center - The Aggie Compass is a comfortable space for students to build community, learn about basic needs resources, pick up fresh fruits and vegetables, receive CalFresh enrollment assistance, and help find stable housing.

https://financialaid.ucdavis.edu/wellness-outreach/basic-needs#main-content",No,No,no,no,no,No,no,no,no,No,"webmaster@ecsi.net

FAS-ECRTeam@ou.ad3.ucdavis.edu
","530-752-1011

888-224-7268, 530-752-1011

(888) 549-3274, 530-752-1011

888-224-7268, 530-752-1011, 800-433-3243
",1
University of Central Florida,no,no,no,no,No,no,no,"```
Occurrence 1: Knights Helping Knights Pantry Scholarships & Financial Literacy Scholarships A2O is a new scholarship application system that will help you to be considered for over 100 scholarships by completing a one-time application online. This financial literacy program is to provide students at the University of Central Florida with information and resources that enhance their financial knowledge and equip them to make sound financial decisions.

https://scs.sswb.ucf.edu/intervention/
```",No,no,no,"caremanager@ucf.edu, caremanager@ucf.edu.

caremanager@ucf.edu, ucfcares@ucf.edu.

caremanager@ucf.edu

caremanager@ucf.edu, info@RescueOutreachCFL.org

caremanager@ucf.edu, acadserv@ucf.edu

caremanager@ucf.edu, Lawanna.Adorno@ucf.edu, tammie.nadeau@ucf.edu, Jennifer.Laskowski@ucf.edu, saskia.figaro@ucf.edu

caremanager@ucf.edu, tammie.nadeau@ucf.edu

caremanager@ucf.edu, DowntownCCS@ucf.edu
","(407)823-5607, 407.823.2000, 407-823-5607

(407-823-2811, 407-823-5607, 407-823-2811, 407-823-2691, 407.823.2000, 407-823-5555

407-823-5607, 407.823.2000

407-823-5607, 407-778-4750, 407.823.2817, (407) 219-2895, (321) 765-4984, 407.303.8667, 407-423-4855, (407) 370-0111, 877.240.6863, 407.281.7000, 800.282.3171, 407-650-0774, (407) 425-2624, (407) 254-9415, 407-831-2411, 407-886-2856, 407.478.4034, (352) 404-6946, 407.823.5555, (407)522-3412, 407.282.5410, 407-875-3700, (407) 846-0023, 407.836.6547, 800-500-1119, 407.823.1200, 407-302-5220, 407-422-4855, 407-330-3933, (727) 791-3131, (407) 650-0774, (407) 539-0885, 407-321-8224, 407 317-7430, (813) 234-1234, 407-482-0404, 407-423-8581, (407) 644-5350, (407) 250-5822, (407) 740-7477, 407-614-3359, 407-951-8269, 407.823.2000, (407) 658-1818, (407) 657-4696, 407-426-1250, (727) 541-4628, (800) 999-0807, (407) 277-3945, (352) 483-2800, 800-273-8255, 407-823-2811, 407-949-4000, (407) 282-5683, 888-628-9454, (352) 629-9595, (407) 628-1602, (407) 657-4278, 407-843-4357

407-823-5607, 407.823.2000, (407-823-5607, 407-823-2811

407-823-5607, 407.823.2000, 407-823-2811, 407-823-0962

407-823-5607, 407-823-6960, 407.823.2000

407-823-5607, 407.235.3835, 407.823.2000, 407-823-0962

407-823-5607, 407.823.2000, 407-823-1832

407-823-2424, 407-823-5607, 407.823.2000, 407-823-5555

407-823-5607, 407.235.3835, 407.823.2000
",1
"University of Illinois, Urbana-Champaign",No,no,no,no,No,No,"Occurrence 1: The NUTRITION EDUCATION Program at the McKinley Health Center aims to teach students on a variety of nutrition topics, encourage healthy eating behaviors, and increase understanding on the benefits of healthy eating. You can meet one-on-one with a Registered Dietitian or review our handy nutrition brochures.

https://wellness.illinois.edu/support-services/nutrition-and-food-assistance",No,no,no,no,"wellness@illinois.edu
","877-384-4390, 217-265-9355, 217-352-4217, 217-384-4444, 217-333-1216, 217-244-5312, 217-333-2700, 217-359-4141, 217-244-7739, 217-333-3704, 217-333-0050

877-384-4390, 217-333-1970, 217-265-9355, 217-352-4217, 217-384-4444, 217-333-1216, 217-244-5312, 217-333-2700, 217-359-4141, 217-244-7739, 217-333-3704, 217-333-0050

877-384-4390, 217-265-9355, 217-352-4217, 217-384-4444, 217-333-1216, 217-244-5312, 217-333-2700, 217-359-4141, 217-649-4129, 217-244-7739, 217-333-3704, 217-333-0050
",1
University of Kentucky,"```
Occurrence 1: Supplemental Nutrition Assistance Program (SNAP), formerly known as food stamps, helps low-income individuals and families buy food at participating stores. Requirements and benefits vary by state.

https://studentsuccess.uky.edu/financial-wellness/basic-needs

Occurrence 2: The Food Pantry is an emergency relief program that is designed to meet the short-term food security needs of all current UK students.

https://studentsuccess.uky.edu/financial-wellness/services

Occurrence 3: Welcome to the Basic Needs Food Security Resources! It can be challenging to do your best in class if you have trouble meeting your basic needs such as being hungry or worried about when your next meal will be.

https://studentsuccess.uky.edu/financial-wellness/services/big-blue-pantry
```",no,no,no,no,no,No,no,no,no,no,"vpss@uky.edu

financialwellness@uky.edu.

bigbluepantry@uky.eduFacebookTwitterInstagram
","859-323-5241

(859-218-7227, 800-656-4673, 859-257-8701, 859-257-8573, 859-257-3755, 800-799-7233
",3
"University of Maryland, College Park","Occurrence 1: FOOD SECURITY Resources Campus Pantry offers good quality and nutritious emergency food in a safe space to UMD undergraduate and graduate students, faculty, and staff experiencing food insecurity. The Campus Pantry is located in the lower level of the South Campus Dining Hall Building.

https://studentaffairs.umd.edu/basic-needs-security#main-content","Occurrence 1: This application is the starting point for receiving financial aid, including the federal Pell Grant and University of Maryland institutional aid. The Office of Student Financial Aid provides guidance to students and their families with applying for and managing financial assistance.

https://studentaffairs.umd.edu/basic-needs-security#main-content",No,no,no,no,no,"Occurrence 1: Consumer.gov offers information on everything from creating a budget to learning how to protect yourself from identity theft. The one-stop-shop is a great starting point for anyone that has questions about financial well being.

https://studentaffairs.umd.edu/basic-needs-security#main-content","```
Occurrence 1: The Counseling Center offers crisis intervention services to address students' immediate needs. 

https://studentaffairs.umd.edu/health-wellness
```",no,"Occurrence 1: Emergency housing is available for undergraduate students experiencing homelessness. It is offered to students enrolled at least part-time and age 24 and under. Access to university housing is subject to space availability and the duration is determined by the case management team.

https://studentaffairs.umd.edu/basic-needs-security#main-content","StudentAffairs@umd.edu, Resourcesdrlhr@umd.edu301-314-5111, marinel@umd.edu, Personnelalexf@umd.edu, schrimpe@umd.edu, withersp@umd.edu, studentconduct@umd.edu, Dawesdrf-seo@umd.edu

StudentAffairs@umd.edu

.@FreeFoodUMD, StudentAffairs@umd.edu

omays@umd.edu., StudentAffairs@umd.edu

StudentAffairs@umd.edu, beta@umd.edu
","301-314-0325, 301-314-5111, 301-314-8058, 301-314-3486, 301-314-8428

301-314-8428

301-405-3333, 866-488-7386, 866-821-5552, 301-314-8428, 301-314-7651, 301-741-3442

301-405-3333, 301-314-8428, 301-405-3555
",5
